# MJD-OBS = 58321.270984
# DATE-OBS = 2018-07-22T06:30:13
# EXPTIME = 620.000000
# AIRMASS = 1.687
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
5.780060e+03 1.041915e-16 1.754983e-17
5.782060e+03 1.047316e-16 1.744032e-17
5.784060e+03 9.633140e-17 1.724307e-17
5.786060e+03 9.910589e-17 1.729784e-17
5.788060e+03 9.114081e-17 1.723781e-17
5.790060e+03 8.346246e-17 1.718867e-17
5.792060e+03 1.011220e-16 1.744375e-17
5.794060e+03 1.060682e-16 1.749560e-17
5.796060e+03 1.051105e-16 1.744848e-17
5.798060e+03 1.010739e-16 1.733907e-17
5.800060e+03 1.033163e-16 1.732881e-17
5.802060e+03 9.978249e-17 1.728981e-17
5.804060e+03 8.123375e-17 1.714056e-17
5.806060e+03 7.522706e-17 1.702959e-17
5.808060e+03 7.804381e-17 1.702217e-17
5.810060e+03 9.115958e-17 1.716115e-17
5.812060e+03 9.812610e-17 1.726492e-17
5.814060e+03 9.819743e-17 1.726943e-17
5.816060e+03 9.102447e-17 1.716562e-17
5.818060e+03 9.362319e-17 1.722976e-17
5.820060e+03 8.927515e-17 1.717276e-17
5.822060e+03 8.120355e-17 1.703456e-17
5.824060e+03 1.001916e-16 1.716742e-17
5.826060e+03 1.099901e-16 1.723249e-17
5.828060e+03 1.104353e-16 1.719794e-17
5.830060e+03 9.037125e-17 1.683156e-17
5.832060e+03 9.695497e-17 1.690695e-17
5.834060e+03 1.090749e-16 1.707425e-17
5.836060e+03 9.562216e-17 1.681810e-17
5.838060e+03 9.341148e-17 1.676714e-17
5.840060e+03 9.419661e-17 1.675284e-17
5.842060e+03 9.309636e-17 1.665895e-17
5.844060e+03 1.039655e-16 1.682159e-17
5.846060e+03 1.065084e-16 1.690297e-17
5.848060e+03 8.914988e-17 1.673440e-17
5.850060e+03 9.017231e-17 1.671882e-17
5.852060e+03 8.700165e-17 1.662519e-17
5.854060e+03 7.508437e-17 1.640036e-17
5.856060e+03 6.740602e-17 1.626846e-17
5.858060e+03 7.079480e-17 1.629423e-17
5.860060e+03 8.472292e-17 1.646926e-17
5.862060e+03 8.018345e-17 1.639742e-17
5.864060e+03 7.559285e-17 1.636305e-17
5.866060e+03 7.261586e-17 1.638196e-17
5.868060e+03 8.451573e-17 1.662062e-17
5.870060e+03 8.833977e-17 1.666971e-17
5.872060e+03 8.570639e-17 1.659111e-17
5.874060e+03 7.420966e-17 1.642115e-17
5.876060e+03 7.674113e-17 1.646221e-17
5.878060e+03 8.140144e-17 1.652465e-17
5.880060e+03 7.421489e-17 1.637522e-17
5.882060e+03 7.210057e-17 1.630130e-17
5.884060e+03 7.697282e-17 1.635002e-17
5.886060e+03 9.411815e-17 1.662288e-17
5.888060e+03 1.006018e-16 1.680348e-17
5.890060e+03 1.025232e-16 1.692208e-17
5.892060e+03 1.001921e-16 1.696716e-17
5.894060e+03 8.524987e-17 1.675033e-17
5.896060e+03 8.439149e-17 1.667644e-17
5.898060e+03 1.021786e-16 1.680700e-17
5.900060e+03 9.042129e-17 1.664541e-17
5.902060e+03 8.436421e-17 1.647720e-17
5.904060e+03 8.380683e-17 1.631244e-17
5.906060e+03 8.020290e-17 1.624120e-17
5.908060e+03 8.943373e-17 1.637870e-17
5.910060e+03 1.052253e-16 1.662171e-17
5.912060e+03 1.045085e-16 1.658775e-17
5.914060e+03 9.503815e-17 1.637519e-17
5.916060e+03 8.503103e-17 1.612509e-17
5.918060e+03 9.142338e-17 1.609979e-17
5.920060e+03 8.942356e-17 1.604672e-17
5.922060e+03 8.466540e-17 1.601430e-17
5.924060e+03 8.086586e-17 1.606763e-17
5.926060e+03 7.969640e-17 1.600925e-17
5.928060e+03 7.655992e-17 1.590679e-17
5.930060e+03 6.821358e-17 1.577224e-17
5.932060e+03 6.289120e-17 1.570645e-17
5.934060e+03 6.270695e-17 1.572066e-17
5.936060e+03 6.940746e-17 1.583732e-17
5.938060e+03 9.064454e-17 1.607031e-17
5.940060e+03 1.025452e-16 1.616743e-17
5.942060e+03 1.030939e-16 1.610577e-17
5.944060e+03 1.029277e-16 1.600270e-17
5.946060e+03 9.764598e-17 1.585080e-17
5.948060e+03 8.804851e-17 1.566933e-17
5.950060e+03 7.793233e-17 1.561659e-17
